tld,count
com,12857
net,959
org,565
de,329
ru,294
edu,166
gov,159
cn,150
jp,139
fr,129
co.jp,127
co.uk,127
com.cn,123
it,110
com.br,101
info,99
pl,85
es,65
tv,58
nl,49
cc,47
us,45
ca,44
com.au,43
ir,43
in,37
cz,34
to,26
gr,26
se,25
com.mx,24
ne.jp,23
no,23
be,22
biz,22
com.tw,22
com.tr,21
eu,21
hu,21
ro,20
at,19
co.in,19
ch,19
co.kr,19
ws,18
,16
co.za,16
ua,15
com.my,14
vn,14
co.il,14
me,14
mil,14
com.ar,13
dk,13
fi,11
fm,11
hr,10
az,10
sk,10
pt,10
cl,9
gov.uk,8
kz,8
ie,8
co.id,8
nu,8
com.hk,8
gov.cn,7
or.jp,7
gov.br,7
com.vn,7
co.th,6
ae,6
lv,6
go.jp,6
com.sa,6
bg,5
lt,5
com.sg,5
ly,5
com.ph,5
net.cn,4
com.pk,4
com.pe,4
edu.cn,4
co,4
com.ve,4
co.nz,4
com.ua,3
gob.mx,3
gov.au,3
com.eg,3
cd,3
net.au,3
la,3
pk,3
ac.uk,3
ac.in,3
br,3
bz,3
by,3
ac.jp,3
org.uk,3
web.id,3
mx,3
gov.tr,3
md.us,2
org.ru,2
ak.us,2
mi.us,2
ph,2
ps,2
on.ca,2
sc.us,2
ac.ir,2
la.us,2
ma.us,2
com.pl,2
mu,2
ee,2
rs,2
si,2
is,2
net.in,2
ms.us,2
nm.us,2
pe,2
fed.us,2
com.co,2
wv.us,2
tl,2
qc.ca,2
ok.us,2
cat,2
nh.us,2
gg,2
al.us,2
com.uy,2
tn.us,2
ct.us,2
cx,2
name,2
com.bd,2
com.ng,2
gen.tr,2
ia.us,2
ny.us,2
io,2
tt,2
nhs.uk,2
edu.sa,2
co.ke,2
nv.us,2
am,2
gov.in,1
gs,1
com.qa,1
pa.us,1
www.sch.uk,1
vu,1
gc.ca,1
mo.us,1
tomsk.ru,1
gov.om,1
ac.at,1
com.do,1
ma,1
id.us,1
k12.wa.us,1
k12.ca.us,1
com.kw,1
com.gh,1
osaka.jp,1
ar.us,1
net.eg,1
com.om,1
cm,1
ns.ca,1
govt.nz,1
li,1
lk,1
donetsk.ua,1
org.eg,1
gov.ru,1
gob.ve,1
com.bo,1
lu,1
k12.mi.us,1
co.ug,1
tokyo.jp,1
int,1
ab.ca,1
k12.sc.us,1
vic.gov.au,1
k12.ms.us,1
my,1
co.ma,1
kharkov.ua,1
co.hu,1
k12.ia.us,1
com.ly,1
ut.us,1
bc.ca,1
com.bh,1
cu,1
hk,1
com.py,1
com.by,1
sh.cn,1
kiev.ua,1
co.tz,1
il.us,1
ne.us,1
or.kr,1
co.us,1
ec,1
in.th,1
com.gt,1
edu.tw,1
gl,1
ci,1
com.ec,1
mg,1
com.et,1
k12.al.us,1
sc,1
edu.au,1
msk.ru,1
sn,1
gov.it,1
de.us,1
nj.us,1
com.kz,1
ba,1
va,1
me.us,1
nnov.ru,1
k12.fl.us,1
wa.us,1
jobs,1
gd,1
com.bn,1
tx.us,1
tk,1
com.cu,1
pr,1
com.lb,1
pp.ru,1
hi.us,1
go.th,1
k12.mo.us,1
mn.us,1
zp.ua,1
mobi,1
com.ni,1
k12.ky.us,1
tw,1
qld.gov.au,1
com.np,1
jo,1
co.ve,1
ky.us,1
edu.sg,1
com.pr,1
su,1
com.sv,1
k12.co.us,1
com.kh,1
me.uk,1
co.cr,1
mt.us,1
dz,1
asia,1
org.cn,1
ks.us,1
sd.us,1
gov.hk,1
spb.ru,1
ag,1
st,1
asn.au,1
coop,1
hn,1
