tld,count
com,646
net,48
org,27
de,23
ru,23
fr,14
co.jp,13
cn,13
jp,13
com.cn,12
it,11
co.uk,10
com.br,9
ne.jp,7
pl,7
nl,5
gov,5
com.au,5
to,4
cz,4
ca,4
com.tr,3
us,3
ir,3
es,3
cc,3
com.mx,3
com.vn,3
in,2
ae,2
tv,2
se,2
no,2
at,2
com.tw,2
co.in,2
com.ar,2
pt,2
ly,2
eu,2
gl,1
fm,1
com.ua,1
com.ng,1
vn,1
com.qa,1
com.my,1
cl,1
bg,1
gc.ca,1
ch,1
ro,1
co.id,1
co.za,1
co.nz,1
co.th,1
com.kw,1
co.kr,1
sk,1
ua,1
co.ve,1
be,1
kz,1
li,1
lk,1
com.ph,1
is,1
co.il,1
com.sg,1
me,1
com.eg,1
dk,1
hu,1
com.pk,1
az,1
gov.in,1
or.jp,1
la,1
com.co,1
fi,1
co.ma,1
co.hu,1
ws,1
com.hk,1
gr,1
ie,1
com.pe,1
pk,1
com.sa,1
org.eg,1
net.cn,1
am,1
