tld,count
com,642
net,59
org,27
de,23
ru,23
fr,15
cn,14
co.jp,13
jp,13
com.cn,11
it,11
co.uk,9
ne.jp,8
com.br,7
pl,7
nl,5
com.au,5
us,4
ca,4
gov,4
cc,4
com.tr,3
to,3
ir,3
co.in,3
com.mx,3
com.vn,3
in,2
tv,2
cz,2
se,2
es,2
hu,2
at,2
com.hk,2
com.tw,2
com.ar,2
pt,2
com.sa,2
ly,2
fm,1
com.ec,1
com.ng,1
vn,1
com.qa,1
com.my,1
cl,1
biz,1
gc.ca,1
ch,1
com.ua,1
ro,1
co.id,1
co.za,1
co.nz,1
co.th,1
com.kw,1
ae,1
co.kr,1
sk,1
ua,1
co.ve,1
be,1
co.hu,1
lk,1
no,1
is,1
co.il,1
com.sg,1
me,1
com.eg,1
dk,1
com.pk,1
or.jp,1
la,1
com.co,1
fi,1
co.ma,1
com.ly,1
bg,1
ws,1
gr,1
ie,1
com.pe,1
pk,1
com.do,1
sh.cn,1
com.ph,1
