tld,count
com,181439
ru,19658
net,16155
org,12120
de,7400
co.uk,5036
com.br,4394
jp,4322
ir,3794
in,3785
it,3638
fr,3385
pl,3063
info,2821
cn,2362
com.au,2261
es,1990
cz,1970
nl,1928
tv,1697
edu,1644
gr,1605
co,1553
co.jp,1416
me,1390
ro,1368
co.kr,1356
ca,1332
se,1142
eu,1064
com.cn,1026
hu,1024
biz,913
com.ua,850
co.za,810
com.tr,800
io,773
dk,766
ch,755
co.id,752
no,749
ua,716
fi,710
kz,695
cc,674
at,653
be,629
us,568
com.mx,557
xyz,520
by,516
com.ar,486
sk,484
co.in,472
gov,471
vn,467
mx,392
ie,391
pt,386
com.tw,383
co.il,378
su,371
gov.cn,363
xn--p1ai,334
lt,326
bg,316
cl,314
org.uk,275
mobi,259
ge,253
az,253
club,250
kr,244
co.nz,231
pk,230
com.my,218
pro,211
to,201
hr,201
ae,191
ws,188
tw,180
hk,177
com.sg,175
ac.uk,174
top,172
com.hk,171
lv,170
com.co,169
gov.in,157
fm,155
rs,154
com.eg,147
xxx,146
am,145
com.ng,144
si,143
com.pl,136
ac.in,133
lk,131
online,126
com.es,123
ee,123
pw,123
co.th,123
sg,123
com.vn,117
gov.uk,117
is,116
asia,115
com.pk,114
my,113
br,104
pe,103
id,101
tk,101
uz,99
org.ua,97
gob.mx,95
com.ve,95
ng,93
in.th,93
in.ua,93
org.br,92
edu.au,90
com.ph,90
ma,90
ac.ir,88
web.id,87
or.jp,86
la,85
org.cn,85
or.kr,85
ne.jp,84
cat,83
ph,82
com.pe,82
ac.id,81
go.id,81
mk,79
kiev.ua,77
nu,75
edu.tr,74
edu.br,70
md,68
nic.in,68
gov.br,68
name,68
net.cn,67
gov.au,67
mn,66
gov.tr,65
link,65
im,65
news,64
bz,64
ly,61
edu.vn,61
com.sa,61
travel,60
spb.ru,60
edu.co,57
co.ke,57
site,55
guru,54
com.do,54
edu.cn,53
ba,53
lu,52
go.kr,51
tokyo,51
today,51
al,50
org.au,50
uk,48
net.ua,47
space,47
blog.br,46
kg,45
gov.co,44
net.au,44
com.uy,43
website,42
org.in,40
click,39
edu.pk,39
pics,39
edu.pe,38
gov.sa,38
com.bd,38
st,36
edu.in,35
gen.tr,35
com.ru,33
edu.pl,33
ml,33
li,32
gg,32
ga,32
ag,31
com.cy,31
gouv.fr,31
ac.kr,31
com.ec,30
so,30
life,30
com.gt,30
tn,29
media,28
edu.sa,28
work,27
gov.pl,27
gov.ua,27
edu.mx,27
qa,26
aero,26
gov.ru,26
tech,26
coop,26
sa,25
co.ug,25
gob.ve,25
org.tr,25
gc.ca,25
cm,25
edu.my,24
sexy,24
ac.jp,23
gob.ar,23
gov.sg,23
jus.br,23
do,23
com.pa,23
net.br,22
bel.tr,22
ms,22
edu.ar,22
edu.sg,22
ac,22
ec,22
tips,21
red,21
gov.ae,21
qc.ca,21
org.il,21
rocks,21
govt.nz,21
bid,21
gov.my,21
dz,20
int,20
com.pt,20
or.th,20
ac.th,20
on.ca,20
com.py,19
cf,19
re,19
ps,19
gov.pk,19
net.in,19
ai,19
cr,19
com.mk,18
porn,18
